source,model,seed,fold_index,split,n,groups,rmse,point_spearman,within_group_spearman,within_group_ndcg,pair_accuracy,within_group_spearman_ci_low,within_group_spearman_ci_high,within_group_ndcg_ci_low,within_group_ndcg_ci_high,within_group_hit_recall_5pct,within_group_hit_recall_5pct_ci_low,within_group_hit_recall_5pct_ci_high,within_group_normalized_regret_5pct,within_group_normalized_regret_5pct_ci_low,within_group_normalized_regret_5pct_ci_high,within_group_regret_5pct,within_group_hit_recall_10pct,within_group_hit_recall_10pct_ci_low,within_group_hit_recall_10pct_ci_high,within_group_normalized_regret_10pct,within_group_normalized_regret_10pct_ci_low,within_group_normalized_regret_10pct_ci_high,within_group_regret_10pct,within_group_hit_recall_20pct,within_group_hit_recall_20pct_ci_low,within_group_hit_recall_20pct_ci_high,within_group_normalized_regret_20pct,within_group_normalized_regret_20pct_ci_low,within_group_normalized_regret_20pct_ci_high,within_group_regret_20pct
ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,2537,7,0.9982362953679292,0.11362835143999793,0.1905809045059273,0.8182647057132453,0.5866413373484749,0.0883814233950486,0.3037850402472782,0.7202688032383252,0.885536730654773,0.12610837438423644,0.019704433497536946,0.2541871921182266,0.23953574962689222,0.07260492069409286,0.457817172989285,1.0559369793960027,0.21489277006518384,0.10424783549783549,0.3449370552818828,0.15609377431993138,0.03859526220735995,0.29509766333431947,0.6861425978796822,0.29977026383676,0.19746823828345572,0.3879543378616267,0.10056075760038079,0.006627397843144751,0.2199245414157816,0.4532215765544346
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260725,2,test,2537,7,0.9804041341944882,0.13159204684140494,0.09079912265160203,0.7930416963051738,0.12649054720714623,-0.24951020958182726,0.44799909046075187,0.6816287029866545,0.8749477638630012,0.10282131661442005,0.019704433497536946,0.21719659650694087,0.21543768139301603,0.03361761087869507,0.46537451432673804,0.9612767617280651,0.17163040583095263,0.09760236382954436,0.25506387769318795,0.11062089201749932,0.0314543761978023,0.21953445417161013,0.4979894538624859,0.23674090189435457,0.12294372294372294,0.343776032151991,0.10013784314661076,0.01421580051270099,0.20272040748953896,0.4481696982865791
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260725,2,test,2537,7,0.9546512330183105,0.2788991600167769,0.2749808145760884,0.8362185126037929,0.5975479309586685,0.03723482664632068,0.5353841677622904,0.7243438024118798,0.9169492948926249,0.22559088421157386,0.08866995073891626,0.39518336070060206,0.17322166075716375,0.006627393225331378,0.404124026892049,0.7734407044265461,0.3172093225096136,0.16273219482695628,0.48156827223643073,0.12359760040538492,0.006627393225331378,0.28696794363655115,0.5559110049809494,0.3595177201315308,0.21032650214235893,0.5127289334706214,0.11697020718005355,0.0,0.25005370441199254,0.524414909268916
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260725,2,test,2537,7,0.9781970345004571,0.23212265604483906,0.2749808145760884,0.8362185150796456,0.5975479309586685,0.03723482664632068,0.5353841677622904,0.7243438051364824,0.9169492965278032,0.22559088421157386,0.08866995073891626,0.39518336070060206,0.17322166667120584,0.006627397843144751,0.4041240380499995,0.773440705878394,0.3172093225096136,0.16273219482695628,0.48156827223643073,0.12359760982304027,0.006627397843144751,0.28696795600375014,0.5559110300881522,0.3595177201315308,0.21032650214235893,0.5127289334706214,0.11697021197989553,0.0,0.25005371967863566,0.5244149139949253
ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,val,2534,8,1.0013200791120933,0.04720564951148266,0.1626734475117604,0.8281531824465727,0.528139761637686,-0.07579073120116955,0.4044516242240343,0.6855373374687947,0.9313539991333317,0.13358585858585859,0.03314393939393939,0.25515940656565633,0.231516480979861,0.0517531207660774,0.45425650595326356,1.2333529251627624,0.20986303651356467,0.08195781239740306,0.38029927910264605,0.21800895541735982,0.030369868557383155,0.45508259942332824,1.1763035892508924,0.3506027484350548,0.17867480093629964,0.5659724195075757,0.20818585054931749,0.026343202837182077,0.4494562623592252,1.1268110759556293
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260726,3,val,2534,8,0.9935490910784949,0.015716335975450392,0.18127100838733567,0.8010625781652863,0.009390941366429458,-0.15209370308091547,0.4129142446630369,0.691194409911127,0.8854249116423649,0.09652777777777778,0.00625,0.21805555555555556,0.3703827249597624,0.15589640587004674,0.6149743076711108,1.6717069267739064,0.13616622276393403,0.04266826923076923,0.2611682682902974,0.32012993347657087,0.12177881962472285,0.5195009912042526,1.4397133820131018,0.19492848822734385,0.07769097222222222,0.32705330785216347,0.30824095861917866,0.11878241614365316,0.5078325337266697,1.3832373528272879
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260726,3,val,2534,8,1.0182845420829743,0.044128413414110744,0.20070011410796473,0.8336133394423182,0.5154582036383135,0.007326959318253018,0.39238071385137224,0.697213589611546,0.933209905681863,0.18311237373737374,0.024305555555555556,0.43311237373737377,0.24991798169379037,0.06551835747856524,0.4922510819908329,1.326504902558136,0.2579109588572617,0.148619518502331,0.3666326057671788,0.20739932925758725,0.04200466604729858,0.4157368949682377,1.12827444154425,0.36806338345730955,0.242367721559788,0.5166913412291934,0.17548068912179499,0.008186965802957125,0.4083626230794365,0.9851862140225008
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260726,3,val,2534,8,0.9935260435304534,0.0156030721012567,0.20070011410796473,0.8336133388630347,0.5154582036383135,0.007326959318253018,0.39238071385137224,0.6972135905875947,0.9332099039783286,0.18311237373737374,0.024305555555555556,0.43311237373737377,0.24991799610948248,0.06551836484883251,0.49225109631159286,1.3265049569308758,0.2579109588572617,0.148619518502331,0.3666326057671788,0.207399334756583,0.04200466509573535,0.41573690657946316,1.1282744407653809,0.36806338345730955,0.242367721559788,0.5166913412291934,0.17548069196871643,0.008186964827480235,0.4083626297751808,0.9851862043142319
ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,2541,8,1.0027187165119054,0.13477561279445505,0.21854464817988886,0.873720860435766,0.5560669667247243,0.061688235691733664,0.38069467936705376,0.807964418274171,0.9287297961246492,0.06658249158249158,0.004545454545454545,0.14907407407407408,0.24681177940920282,0.08117358891973311,0.46435607193594824,0.8902244418859482,0.15324600168350166,0.04823942550505051,0.2901094276094276,0.22195056123551454,0.06709392982705706,0.4606586212909794,0.7553981617093086,0.25355940355940354,0.13863027597402597,0.3577208844396344,0.18944368465036893,0.027832720157405032,0.43954395208217295,0.6463209018111229
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260726,3,test,2541,8,1.0044310901353188,0.04050458090577491,0.16829314987628133,0.8312869352255228,0.0027821633400836065,-0.2039347308579719,0.41964893536426634,0.7725398037871128,0.8861494464168554,0.04554924242424242,0.00909090909090909,0.09245738636363618,0.4347201879938554,0.15139552366666215,0.763212517229177,1.5695451767934654,0.07627314814814815,0.025,0.13506944444444446,0.3591425594524041,0.107482028606188,0.6522677069303582,1.2145410708433486,0.09034353956228956,0.025,0.15454545454545454,0.3084987292615731,0.05212317242619434,0.5781820170474716,0.9460146298083238
