group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split
screen:Miller_zwitter_lipids_Miller_ZAL_generic_cell_HeLa_in_vitro,72,0.9912679846711168,0.17799023178863352,-0.1741524470705802,0.560351050686401,0.0,2.4277327563613653,0.7500000063297011,0.0,2.4277327563613653,0.7500000063297011,0.06666666666666667,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test
screen:Sanofi_goods_Sanofi_goods_muscle_Mouse_intramuscular,260,0.9946390510509087,0.7121963099325983,0.4789334476154991,0.7930549022400574,0.07692307692307693,1.2523987293243408,0.2862057547181505,0.038461538461538464,1.2523987293243408,0.2862057547181505,0.19230769230769232,0.11200308799743652,0.02559562508368534,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test
screen:Yan_aza_michael_Yan_aza_michael_generic_cell_IGROV1_in_vitro,119,1.034259959550581,0.16192540233361094,0.24087250797130438,0.6923082170709127,0.0,0.748176097869873,0.19999998406668157,0.25,0.0,0.0,0.20833333333333334,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test
screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro,1470,1.0024361617735817,0.16170767245659534,0.1969479268482476,0.8460522767223151,0.24324324324324326,0.0,0.0,0.38095238095238093,0.0,0.0,0.3843537414965986,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test
screen:A549_form_screen_IR_Reductive_amination_lung_epithelium_A549_in_vitro,436,1.0102473806442565,0.36227125724456244,0.044506141193946754,0.9415993272833232,0.09090909090909091,0.3487381935119629,0.07338132196086741,0.13636363636363635,0.3487381935119629,0.07338132196086741,0.14772727272727273,0.3487381935119629,0.07338132196086741,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,val
screen:He_4CR_aldehyde_He_4CR_aldehyde_liver_Mouse_intravenous,161,0.9995094724212374,0.028046521290565837,0.2243480978197157,0.8581934314903842,0.0,1.5200491547584534,0.42577487201306213,0.0,1.5200491547584534,0.42577487201306213,0.09090909090909091,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,val
screen:Lee_unsat_dendrimer_Lee_unsat_dendrimer_generic_cell_IGROV1_in_vitro,84,0.995031318370257,0.5372286422522679,0.5822818292354027,0.923198974932794,0.4,0.0,0.0,0.2222222222222222,0.0,0.0,0.5882352941176471,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,val
screen:Li_Thiolyne_Li_Thiolyne_generic_cell_HEK293T_in_vitro,112,0.9908934824485195,0.4015137208334746,0.2153609213788507,0.5939250398994286,0.0,1.918216347694397,0.43759398224293866,0.25,1.918216347694397,0.43759398224293866,0.2608695652173913,1.918216347694397,0.43759398224293866,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,val
screen:Liu_Phospholipids_Liu_iPhos_generic_cell_IGROV1_in_vitro,572,1.0099180804693861,0.043096795826815464,0.10139461494825242,0.881232355924523,0.20689655172413793,0.0,0.0,0.5344827586206896,0.0,0.0,0.48695652173913045,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,val
screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_lung_Mouse_intravenous,22,1.010343392007691,0.11462450592885377,0.21287408243929987,0.8435794475932369,0.0,1.757449984550476,0.3822332177732277,0.6666666666666666,1.7526875734329224,0.38119742629021314,0.6,1.7526875734329224,0.38119742629021314,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,val
