case_code,selection_rule,screen,fraction_inspected,candidates_inspected,normalized_regret,color
C2,Median-ranking case,LM three-component-reaction screen,0.06296296296296296,68,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06388888888888888,69,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06481481481481481,70,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06574074074074074,71,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06666666666666667,72,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06759259259259259,73,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06851851851851852,74,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06944444444444445,75,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.07037037037037037,76,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.0712962962962963,77,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.07222222222222222,78,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.07314814814814814,79,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.07407407407407407,80,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.075,81,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.07592592592592592,82,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.07685185185185185,83,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.07777777777777778,84,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.0787037037037037,85,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.07962962962962963,86,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08055555555555556,87,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08148148148148149,88,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.0824074074074074,89,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08333333333333333,90,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08425925925925926,91,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08518518518518518,92,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08611111111111111,93,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08703703703703704,94,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08796296296296297,95,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08888888888888889,96,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.08981481481481482,97,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09074074074074075,98,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09166666666666666,99,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09259259259259259,100,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09351851851851851,101,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09444444444444444,102,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09537037037037037,103,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.0962962962962963,104,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09722222222222222,105,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09814814814814815,106,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.09907407407407408,107,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1,108,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.10092592592592593,109,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.10185185185185185,110,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.10277777777777777,111,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1037037037037037,112,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.10462962962962963,113,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.10555555555555556,114,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.10648148148148148,115,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.10740740740740741,116,0.0,#4C78A8
